"ID","Handle","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: fixmytoys.bwpid [single_line_text_field]","Metafield: fixmytoys.brand [single_line_text_field]","Metafield: fixmytoys.model [single_line_text_field]","Metafield: fixmytoys.equipmenttype [single_line_text_field]","Metafield: fixmytoys.submodel [single_line_text_field]","Metafield: fixmytoys.year [single_line_text_field]","Metafield: fixmytoys.breadcrumbs [single_line_text_field]","Metafield: fixmytoys.manufacturer [single_line_text_field]"
"171655004241","1985-honda-cb125s","1985 Honda CB125S | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda CB125S Parts to get You Up and Running again.","1113445,1113446,1372757","Honda","CB125S","Street Motorcycle","CB125S","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,CB125S|collections/1985-honda-cb125s",""
"171655135313","1985-honda-cr80r","1985 Honda CR80R | Parts and Accessories","IN-STOCK OEM Honda Off-road Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda CR80R Parts to get You Up and Running again.","1359761","Honda","CR80R","Off-road Motorcycle","CR80R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,CR80R|collections/1985-honda-cr80r",""
"171655364689","1985-honda-gyro-s","1985 Honda Gyro S | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Gyro S Parts to get You Up and Running again.","1112855,1361414","Honda","Gyro S","Street Motorcycle","Gyro S","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Gyro S|collections/1985-honda-gyro-s",""
"171655659601","1985-honda-rebel-250","1985 Honda Rebel 250 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Rebel 250 Parts to get You Up and Running again.","1113453,1113454,1363316,1376348","Honda","Rebel 250","Street Motorcycle","Rebel 21A-250J265","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Rebel 250|collections/1985-honda-rebel-250",""
"171655561297","1985-honda-nighthawk-650","1985 Honda Nighthawk 650 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Nighthawk 650 Parts to get You Up and Running again.","1351973","Honda","Nighthawk 650","Street Motorcycle","21D-65M8793,Nighthawk CMXGVAM1144037","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Nighthawk 650|collections/1985-honda-nighthawk-650",""
"171655200849","1985-honda-elite-250","1985 Honda Elite 250 | Parts and Accessories","IN-STOCK OEM Honda Scooter  Parts & Accessories. SAME-DAY Ship on 1985 Honda Elite 250 Parts to get You Up and Running again.","1112847,1112848,1356895","Honda","Elite 250","Scooter","Elite 21A-250J265","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Elite 250|collections/1985-honda-elite-250",""
"171655757905","1985-honda-shadow-500","1985 Honda Shadow 500 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Shadow 500 Parts to get You Up and Running again.","1373623","Honda","Shadow 500","Street Motorcycle","Shadow 57060","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Shadow 500|collections/1985-honda-shadow-500",""
"171655331921","1985-honda-goldwing-1200","1985 Honda Goldwing 1200 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Goldwing 1200 Parts to get You Up and Running again.","1113459,1113460,1113461,1113462,1113463,1113464,1350052,1353326,1354158","Honda","Goldwing 1200","Street Motorcycle","Goldwing 132-650F196","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Goldwing 1200|collections/1985-honda-goldwing-1200",""
"171656020049","1985-honda-xl250","1985 Honda XL250 | Parts and Accessories","IN-STOCK OEM Honda Dual Sport Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda XL250 Parts to get You Up and Running again.","1113491,1113492","Honda","XL250","Dual Sport Motorcycle","XL250","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,XL250|collections/1985-honda-xl250",""
"171655790673","1985-honda-shadow-700","1985 Honda Shadow 700 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Shadow 700 Parts to get You Up and Running again.","1113485,1113486,1373747","Honda","Shadow 700","Street Motorcycle","Shadow 57228","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Shadow 700|collections/1985-honda-shadow-700",""
